202.31	0.37
206.826	0.414
210.479	0.456
213.284	0.494
216.789	0.531
220.358	0.572
224.075	0.613
228.388	0.651
233.052	0.691
237.756	0.721
243.556	0.741
248.909	0.726
253.37	0.693
257.832	0.658
262.293	0.619
266.563	0.592
272.426	0.584
277.461	0.605
282.814	0.641
288.168	0.649
293.521	0.645
298.874	0.634
304.228	0.619
309.581	0.604
314.935	0.589
320.288	0.575
325.641	0.56
330.995	0.549
336.348	0.539
341.702	0.531
347.055	0.526
352.408	0.523
357.762	0.521
363.115	0.522
368.469	0.522
373.822	0.525
379.176	0.528
384.529	0.532
389.882	0.536
395.236	0.542
400.589	0.547
405.943	0.552
411.296	0.558
416.649	0.564
422.003	0.57
427.356	0.576
432.71	0.582
438.063	0.59
443.416	0.595
448.77	0.602
454.123	0.608
459.477	0.613
464.83	0.619
470.183	0.625
475.537	0.631
480.89	0.636
486.244	0.641
491.597	0.645
496.951	0.65
502.304	0.652
507.657	0.655
513.011	0.658
518.364	0.659
523.718	0.662
529.071	0.662
534.424	0.664
539.778	0.665
545.131	0.665
550.485	0.665
555.838	0.665
561.191	0.665
566.545	0.665
571.898	0.665
577.252	0.663
582.605	0.662
587.958	0.662
593.312	0.662
598.665	0.662
604.019	0.662
609.372	0.662
614.725	0.662
620.079	0.662
625.432	0.662
630.786	0.662
636.139	0.663
641.493	0.663
646.846	0.663
652.199	0.663
657.553	0.663
662.906	0.662
668.26	0.661
673.613	0.659
678.966	0.657
684.32	0.656
689.673	0.652
695.027	0.65
700.38	0.646
705.733	0.642
711.087	0.638
716.44	0.635
721.794	0.63
727.147	0.625
732.5	0.62
737.854	0.616
743.207	0.61
748.561	0.607
753.914	0.601
759.267	0.597
764.621	0.592
769.974	0.586
775.328	0.58
780.681	0.575
786.035	0.569
791.388	0.564
796.741	0.558
802.095	0.553
807.448	0.546
812.802	0.54
818.155	0.534
823.508	0.528
828.862	0.523
834.215	0.515
839.569	0.509
844.922	0.503
850.275	0.495
855.629	0.487
860.982	0.479
866.336	0.469
871.689	0.458
877.042	0.445
882.396	0.43
887.749	0.414
893.103	0.398
898.456	0.385
903.809	0.372
909.163	0.36
914.516	0.349
919.87	0.337
925.223	0.325
930.577	0.313
935.93	0.302
941.283	0.29
946.637	0.278
951.99	0.267
957.344	0.253
962.697	0.24
968.05	0.226
973.404	0.211
978.757	0.198
984.111	0.187
989.464	0.175
994.817	0.164
1000.171	0.156
1005.524	0.147
1010.878	0.139
1016.231	0.13
1021.584	0.122
1026.938	0.115
1032.291	0.107
1037.645	0.101
1042.998	0.094
1048.352	0.087
1053.705	0.08
1059.058	0.073
1064.412	0.066
1069.765	0.059
1075.119	0.051
1080.472	0.044
1085.825	0.037
1091.179	0.03
1094.748	0.025
